categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
bird,wn_hypernym,0.2501017995,-,True,-,verdin,verdin,216,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,verdin
bird,wn_hypernym,0.2511112149,-,True,-,budgie,budgie,511,True,True,0,0,1,1.0,1.0,,non-met,conc,,,,lay_eggs,budgie
bird,wn_hypernym,0.2820187195,-,True,-,moa,moa,2061,True,True,0,0,1,1.0,1.0,mon,,conc,,,,lay_eggs,moa
bird,wn_hypernym,0.2631461764,-,True,-,kea,kea,1497,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,kea
bird,wn_hypernym,0.259579345,-,True,-,screamer,screamer,468,True,True,3,0,4,0.08333333333333333,0.19917608191602,,,abs-conc,,,,lay_eggs,screamer
bird,wn_hypernym,0.2838020726,-,True,-,ruff,ruff,2112,True,True,3,0,5,0.08695652173913043,0.18384807150791804,poly,,abs-conc,358,329,,lay_eggs,ruff
bird,wn_hypernym,0.3073607363,-,True,-,grayback,grayback,108,True,True,0,0,2,0.8387096774193549,0.8387096774193549,,,conc,,,,lay_eggs,grayback
bird,wn_hypernym,0.2509714982,-,True,-,weaver,weaver,12744,True,True,2,0,2,0.5,0.5,mon,non-met,conc,,,,lay_eggs,weaver
lay_eggs does_lay_eggs,cslb conceptnet,0.2681430743,-,True,-,flea,flea,4170,True,True,0,0,1,0.9090909090909091,0.9090909090909091,poly,,conc,625,515,,lay_eggs,flea
bird,wn_hypernym,0.2533058042,-,True,-,robin,robin,49512,True,True,1,0,2,0.9285714285714286,0.9285714285714286,poly,non-met,conc,637,487,233,lay_eggs,robin
bird,wn_hypernym,0.2733554668,-,True,-,rhea,rhea,2085,True,True,1,0,3,0.08695652173913043,0.3635265700483092,mon,,conc-n,,,,lay_eggs,rhea
bird,wn_hypernym,0.275761864,-,True,-,willet,willet,380,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,willet
bird,wn_hypernym,0.2776048198,-,True,-,cacique,cacique,959,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,cacique
bird does_lay_eggs,cslb wn_hypernym,0.2841893777,-,True,-,emu,emu,4215,True,True,2,0,2,0.1111111111111111,0.1111111111111111,mon,,abs-conc,,,,lay_eggs,emu
bird,wn_hypernym,0.2899234389,-,True,-,eaglet,eaglet,205,True,True,0,0,1,0.9230769230769231,0.9230769230769231,mon,,conc,,,,lay_eggs,eaglet
bird,wn_hypernym,0.2898366717,-,True,-,roadrunner,roadrunner,1936,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,roadrunner
